Tiempo(s)	Voltaje(V)
0.233631	2.08237
0.234160	2.23787
0.234689	2.10412
0.235218	1.77772
0.235747	1.36109
0.236276	1.03313
0.236804	0.96298
0.237333	1.15076
0.237861	1.52228
0.238388	1.93488
0.238919	2.20483
0.239446	2.19919
0.239974	1.95341
0.240503	1.54886
0.241031	1.16365
0.241559	0.96379
0.242086	1.03232
0.242616	1.33611
0.243144	1.75436
0.243671	2.10976
0.244200	2.23464
0.244727	2.10090
0.245257	1.74791
0.245784	1.33209
0.246313	1.02905
0.246840	0.96862
0.247368	1.17171
0.247895	1.55853
0.248423	1.95583
0.248951	2.21209
0.249479	2.19355
0.250007	1.93085
0.250536	1.51583
0.251064	1.14834
0.251592	0.96540
0.252121	1.03555
0.252649	1.36270
0.253177	1.77934
0.253706	2.12104
0.254235	2.23706
0.254763	2.08559
0.255291	1.72213
0.255818	1.30550
0.256347	1.01535
0.256875	0.96137
0.257403	1.18782
0.257931	1.58592
0.258460	1.98645
0.258989	2.21531
0.259516	2.18469
0.260044	1.90749
0.260571	1.49085
0.261100	1.12739
0.261628	0.95412
0.262156	1.05972
0.262685	1.39090
0.263213	1.79867
0.263741	2.13796
0.264272	2.23142
0.264800	2.05251
0.265327	1.68991
0.265856	1.28052
0.266385	1.00085
0.266915	0.97507
0.267442	1.21843
0.267970	1.61090
0.268498	2.00498
0.269027	2.22336
0.269556	2.17100
0.270083	1.88010
0.270613	1.47152
